Position,Sample name,d17,d18,dD
4,Frankfurt (glass),-4.410997972,-8.529145436,-58.4684923
5,Frankfurt (glass),-4.500682565,-8.591593526,-58.46516088
6,Frankfurt (glass),-4.491073502,-8.556345764,-58.42185234
7,Frankfurt (glass),-4.453598154,-8.598836217,-58.58937546
8,Frankfurt (glass),-4.517017973,-8.578073837,-58.45278701
9,Frankfurt (glass),-4.497319393,-8.590627834,-58.42042459
10,Frankfurt (plastic),-4.472816281,-8.622495674,-58.34332588
11,Frankfurt (plastic),-4.477140359,-8.566485531,-58.40614705
12,Frankfurt (plastic),-4.468492202,-8.633118288,-58.49847513
13,Frankfurt (plastic),-4.431497308,-8.594973449,-58.25194963
14,Frankfurt (plastic),-4.46657039,-8.626841289,-58.3861585
15,Frankfurt (plastic),-4.455039513,-8.57276253,-58.38853809
16,Bremerhaven,-3.81219316,-7.299497464,-48.06444979
17,Bremerhaven,-3.790572767,-7.264249702,-47.84981079
18,Bremerhaven,-3.806427722,-7.371441527,-47.82744265
19,Bremerhaven,-3.755499685,-7.227070555,-47.77699534
20,Bremerhaven,-3.792014127,-7.282597852,-47.82649081
21,Bremerhaven,-3.807388629,-7.350196301,-47.80888185
22,Bern,-5.535098259,-10.54808577,-73.95962188
23,Bern,-5.527891461,-10.6123043,-74.33178973
24,Bern,-5.50050563,-10.56063977,-74.33988033
25,Bern,-5.584104483,-10.65141483,-74.26801672
26,Bern,-5.523086929,-10.60989007,-74.42554556
27,Bern,-5.463991188,-10.55339708,-74.54738056
28,Brussels,-3.805947269,-7.352610531,-48.40235154
29,Brussels,-3.840059445,-7.351644839,-48.16772399
30,Brussels,-3.745410169,-7.259421241,-48.0435094
31,Brussels,-3.812673614,-7.317362768,-47.94404255
32,Brussels,-3.830930834,-7.310120078,-48.06064245
33,Brussels,-3.752616966,-7.194719869,-47.89549892
34,Paris,-3.59454787,-6.857210471,-46.05464825
35,Paris,-3.658448143,-7.003995674,-46.02323766
36,Paris,-3.659889503,-6.973576372,-45.97564587
37,Paris,-3.523921253,-6.867833085,-46.0613111
38,Paris,-3.575810197,-6.893906772,-45.8785586
39,Paris,-3.610883279,-6.910806384,-46.08986618
40,Rest (Bern),-5.56104273,-10.6060273,-73.82398526
41,Rest (Bern),-5.525008742,-10.54808577,-74.0262504
42,Rest (Bern),-5.620138471,-10.64320644,-74.2066233
43,Rest (Bern),-5.579780404,-10.59009338,-74.22090084
44,Rest (Bern),-5.517801944,-10.52201208,-74.02053938
45,Rest (Bern),-5.53990279,-10.58864484,-73.93582598
46,Rest (Bern),-5.527891461,-10.57898792,-73.86586604
47,Rest (Bern),-5.528852367,-10.52684054,-74.09478258
48,Rest (Bern),-5.531254633,-10.62292691,-74.2170935
49,Rest (Bern),-5.563444996,-10.58188499,-74.1004936
50,Rest (Bern),-5.524528289,-10.54036023,-74.39508682
51,Rest (Bern),-5.556718652,-10.6113386,-74.38889988
52,Rest (Bern),-5.558640464,-10.58671345,-74.3974664
53,Kentucky,-2.744626198,-5.246918854,-31.43206895
54,Kentucky,-2.769609763,-5.276372464,-31.23456299
55,Kentucky,-2.757598433,-5.197668556,-31.20220057
56,Kentucky,-2.752313448,-5.271061158,-31.41969508
